positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
First Team Data Scientist,,Southampton Football Club,3.9,27.0,Full-time
"Data Scientist, LLMs (Contract)",£450 - £500 a week,Harnham,4.6,9.0,Temporary contract
Data Science Graduate / Degree Apprentice - Energy Networks,"From £20,000 a year",Scottishpower,3.1,311.0,"Full-time, Apprenticeship"
AL/ML Engineer,,Harman,3.9,824.0,Permanent
Lead Data Scientist,,Frontier Economics Ltd,3.5,2.0,Full-time
Senior Research Data Scientist,£8 an hour,UCL,4.1,256.0,"Permanent, Full-time"
Actuarial Data Scientist,"£45,000 - £55,000 a year",Eames Consulting,3.5,4.0,Permanent
Data Scientist,,RSM,,,Full-time
Data Science Placement Student,,Innovative Technology Ltd,3.4,24.0,Internship
Data Scientist (Actuarial),"£45,000 - £65,000 a year",Eames Consulting Group,3.5,4.0,Permanent
Data Scientist,,Allianz Global Investors,3.8,3076.0,"Permanent, Full-time"
Senior Data Scientist,,Cloud Software Group,,,
Data Scientist Degree Apprenticeship,"£24,511 a year",Defence Science and Technology Laboratory,3.0,59.0,"Full-time, Apprenticeship, Fixed term contract"
Data Scientist,,GUARDIAN NEWS & MEDIA,4.6,5.0,Full-time
Senior Data Scientist,,Brit Group Services,,,Permanent
Data Scientist,"£45,585 - £54,395 a year",University of Warwick,4.0,169.0,"Permanent, Full-time"
AI / ML Engineer,,Envitia,,,Permanent
Machine Learning and Data Analytics (KTP Associate) -,"£38,000 - £45,000 a year",Birmingham City University,4.1,154.0,Full-time
"Senior Advisor, Data Science Management Consultant",,GHD,3.5,266.0,
Data Science Manager,,Coinbase,,,
Machine Learning Engineer,,Coders Connect,,,
Data Scientist,"£40,000 - £45,000 a year",Harnham,4.6,9.0,Permanent
Data Scientist - LLM,,Robert Walters,3.7,131.0,
Level 6: Digital & Technology Solutions Degree Apprenticeship - Data Analytics,"£24,480 a year",Jaguar Land Rover,3.6,1883.0,Apprenticeship
ML Engineer Position (Recommendation Matching System Experience) : 3 Months : Outside IR35,,Opus Recruitment Solutions,4.3,11.0,
VP of Data Science,"£150,000 - £160,000 a year",Broster Buchanan,,,Full-time
Head of Data - Data Science - Competitive Salary,"£80,000 - £100,000 a year",Nigel Frank International,2.9,66.0,
Machine Learning Engineer 2024 Internship Programme (6 months),,CGG,3.8,140.0,Internship
Head of Customer & Digital Analytics,,Better Placed,,,
Insight and Analytics Degree Apprenticeship Scheme,,Dunelm,3.1,1379.0,Apprenticeship
Machine Learning Scientist (KTP Associate) - 18 Months FTC,"£32,800 - £39,018 a year",University of West London,3.9,66.0,Fixed term contract
