positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
Senior Data Scientist - Insight Analyst,£600 - £650 a day,McGregor Boyall,4.0,6.0,
"Senior Machine Learning Engineer, Video Recommendation",,TikTok,3.4,188.0,
"Data Scientist II, Analytics",,Expedia Group,3.9,1135.0,Full-time
Insights Data Scientist – Men's Technical (0.4 FTE),,The Football Association,4.3,35.0,"Part-time, Temporary contract, Fixed term contract"
"Machine Learning Engineer | Oxford | Up To £80,000",,Robert Walters,3.7,131.0,
Data Scientist,"£50,000 - £70,000 a year",Outcomes First Group,2.9,395.0,"Permanent, Full-time"
Data Scientist,"£50,000 - £70,000 a year",Acorn Education and Care,2.5,15.0,Permanent
Apprentice Systems Engineer,"Up to £22,308 a year",ITI Operations,3.3,9.0,"Full-time, Apprenticeship"
Data Science Manager,£525 - £575 a day,Explore Group,4.2,15.0,Fixed term contract
Machine Learning Ops Engineer,,Kognitiv Corporation,,,Full-time
AI / Machine Learning Engineer,"£90,000 a year",ECM Selection,,,
Senior Data Scientist,,Capgemini,3.7,9960.0,Permanent
"Senior Data Scientist, Future Energy Scenarios - ESO","£55,000 - £65,000 a year",National Grid,3.7,1015.0,"Part-time, Full-time"
Senior Machine Learning Operations Engineer,,Multiverse,3.8,4.0,Full-time
Senior Data Scientist,,Sky,3.3,1179.0,Full-time
Senior Data Scientist,"£70,000 - £90,000 a year",Harnham,4.6,9.0,Permanent
Principal Data Scientist – National Standardised Assessments For Scotland (id 2023 7734),"£56,020 - £69,846 a year",Scottish Government,4.0,76.0,"Permanent, Full-time"
Senior Data Scientist,"£55,645 a year",UK Hydrographic Office,3.7,22.0,"Permanent, Part-time, Full-time"
"Machine Learning Engr, Sr Staff",,Synopsys,4.1,307.0,
"Sr. Mgr. - Data and Analytics, AVS and VX Central Teams",,Amazon.com,3.5,46912.0,Full-time
Scientific Software Engineer for Machine Learning in Destination Earth,,ECMWF,,,
Machine Learning Lead Developer,"Up to £110,000 a year",JLA Resourcing,,,Full-time
Data Science Coach,"£45,000 - £75,000 a year",Harnham,4.6,9.0,Permanent
Research Associate on the Mathematics of Deep Learning (Maths4DL) (Fixed Term),"£36,024 - £44,263 a year",University of Cambridge,4.2,183.0,Fixed term contract
Global Commercial & Advanced Analytics Director,,LEGO,4.1,538.0,
"Research Fellow in Mathematical Modelling, Model Data Fusion/Machine Learning and Human Sleep-Circadian Rhythms","£36,024 - £40,521 a year",UNIVERSITY OF SURREY,4.1,106.0,Full-time
Analytics Lead - Senior Data Scientist,,NHS,3.7,9410.0,Permanent
Senior Data Scientist,"£38,724 - £48,068 a year",UK Health Security Agency,3.5,14.0,Permanent
Senior Data Analytics Consultant - Machine Learning/Artificial Intelligence (ML/AI),,EPAM Systems,3.8,431.0,
NLP Product Manager,,"Novasyte, LLC",3.6,120.0,Full-time
NLP Product Manager,,IQVIA,3.7,2318.0,Full-time
"Manager, Data Engineering, Data & Analytics, Assurance, Belfast",,EY,3.9,9629.0,
Senior Statistician (GSG),"£41,600 - £48,792 a year",Home Office,3.4,270.0,"Permanent, Full-time"
"Sr Statistical Programmer, Statistical Programming, PCS",,Novasyte,,,Full-time
Senior Research Manager Analytics,,Mars,3.8,2221.0,Full-time
Lead Underwriting Analytics Actuary,,Beazley Management Limited,,,
Research Associate - Hybrid AI and multiscale physical modelling for optimal urban decarbonisation combating climate change,"£45,593 - £53,630 a year",Imperial College London,4.2,213.0,"Full-time, Fixed term contract"
"Senior Manager, Data Engineering, Data & Analytics, Assurance, Belfast",,EY,3.9,9629.0,
"Senior Technology Advisors (Privacy Enhancing Technologies, Machine Learning)","£50,305 - £61,145 a year","Department for Science, Innovation & Technology",,,"Permanent, Part-time, Full-time"
Manager – Analytics & Consulting (Biofuels),,Argus Media,3.5,37.0,Full-time
"Senior Research Fellow in Medical Statistics, Data Science and Epidemiology","£45,585 - £54,395 a year",University of Oxford,4.3,168.0,
"Senior Analyst, Campaign Analytics",,MarketCast UK Ltd,,,Full-time
Mid Level Data Scientist,"£55,000 a year",Mortimer Spinks,,,Permanent
Junior Data Scientist,"£40,000 a year",Mortimer Spinks,,,Permanent
Data Scientist,,Provenir,3.8,13.0,
Analytics Manager,"£71,000 a year",Thatcham Research,3.6,5.0,Permanent
AI Risk Management Officer [Graduate Opportunity],,Holistic AI,,,Full-time
Computer Vision Engineer,"£50,000 - £100,000 a year",Hexwired Recruitment,,,Permanent
Machine Learning Engineer,"£60,000 - £65,000 a year",Fuel Ventures,,,Full-time
Data Science and Bioinformatics Development Lead (ID751),"£42,577 - £47,039 a year",Animal and Plant Health Agency,3.4,38.0,"Permanent, Part-time, Full-time"
Principal Data Scientist,,BPP Professional Education Group,3.3,78.0,Permanent
GCP ML Engineer (Vertex AI),,Cloud MR,,,Freelance
Management Consultant - Analytics & Insights,,Capgemini Invent,3.4,40.0,Permanent
Machine Learning Engineer,"£65,000 - £75,000 a year",Understanding Recruitment,,,Permanent
Regulatory Transaction Reporting Data Scientist,,UBS,3.8,2367.0,Full-time
Actuarial Data Scientist,"£60,000 a year",Eames Consulting,3.5,4.0,Permanent
Lecturer in Artificial Intelligence and Machine Learning for Sustainable Construction,"£51,474 - £60,521 a year",UCL,4.1,256.0,"Permanent, Full-time"
"Research Scientist (Machine Learning), London",,Isomorphic Labs,,,
"Software Engineer, AI Platform",,Thomson Reuters,3.9,4115.0,Full-time
EMX | Analytics Associate Director,,EssenceMediacom,,,"Permanent, Full-time"
Group Lead - Data Science and Engineering,,QinetiQ,3.7,384.0,"Permanent, Full-time"
Senior Pricing Analyst,"£75,000 - £85,000 a year",Urban Empire Recruitment,,,"Permanent, Full-time"
Senior Data Scientist (Lending),"£80,000 - £95,000 a year",Harnham,4.6,9.0,Permanent
Data Science Lead,,Ocado Retail,3.3,146.0,Permanent
Principal Data Scientist- Azure for Operators,,Microsoft,4.2,8318.0,Full-time
Data Scientist,,Direct Line Group,3.3,739.0,Full-time
TENURE TRACK FELLOWSHIP IN HEALTH PROTECTION DATA SCIENCE GRADE 8,"£45,585 - £57,698 a year",University of Liverpool,4.1,239.0,
Big Data Technical Lead,,Quantexa,,,Full-time
Post-Doctoral Research Associate in Configurable Machine Learning Approaches to Robotic Optimisation of Complex Optical Systems,,Heriot Watt University,4.0,121.0,Full-time
Machine Learning Tech Principal,,Policy Expert,4.3,58.0,
Lead Data Scientist,"£60,000 - £80,000 a year",Paradigm Tech Limited,,,Full-time
